Event,Next step,Validation conclusion,Review conclusion,Glitch subtraction,Finalized,Links,Status
S230502m,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb-test.ligo.org/superevents/S230502m), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230502), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230502m), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230502m)",
S230518h,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230518h), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230518), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230518h/S230518h_01), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230518h)",
S230520ae,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230520ae), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230520), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230520ae), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230520ae)",
S230522a,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230522a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230522), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230522a/S230522a_01), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230522a)",
S230522n,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230522n), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230522), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230522n), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230522n)",
S230524x,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230524x), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230524), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230524x), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230524x)",
S230529ay,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230529ay), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230529), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202305/S230529ay), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230529ay)",
S230601bf,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230601bf), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230601), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230601bf), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230601bf)",
S230605o,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230605o), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230605), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230605o), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230605o)",
S230606d,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230606d), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230606), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230606d), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230606d)",
